Apêndice C

3,,,,,,,,,,
,,,Poplação,Atendimento (%),,,Carga Poluidora (kg DBO/dia),,,Corpo Receptor
11,Cananéia,SABESP,10703,77,100,81,578,217,"7,22",Mar Pequeno - Classe 1 - salina (96%); Rio Itapitangui (3%)
11,Eldorado,SABESP,7602,85,100,77,410,144,"7,49",R.Rib.de Iguape (85%); Rio Batatal (4%); Rio Jaguari (9%);
11,Iguape,SABESP,26305,74,100,67,1.420,716,"6,33",R.Rib.de Iguape
11,Ilha Comprida,SABESP,10965,68,100,91,592,228,"7,02",Rio Candapuí
11,Iporanga,SABESP,2365,95,100,89,128,20,"9,93",Rio Iporanga
11,Itaóca,SABESP,1813,39,100,98,98,60,"5,09",Rio Palmital
11,Itapirapuã Paulista,SABESP,2056,65,100,84,111,50,"6,55",Ribeirão das Criminosas
11,Itariri,SABESP,11028,80,99,67,596,281,"6,61",Rio do Azeite (86%); Ribeirão Aerado (13%)
11,Jacupiranga,SABESP,9709,85,92,97,524,125,"8,11",R.Jacupiranga (90%); Rio Pindaúba (2%).
11,Juquiá,SABESP,11916,77,95,64,643,344,"6,11",Rio Juquiá (87 %); Rio Açungu (1%); Ribeirão do Cedro (12%).
11,Juquitiba,SABESP,24177,17,100,92,1.306,1.104,"3,25",R.São Lourenço
11,Miracatu,SABESP,10239,78,100,49,553,340,"5,67","Rio São Lourenço (87 %); Rio Itariri (1,7%), Cór Biguá (2,3%); Cór.Barnabes"
11,Pariquera-Açu,SABESP,13427,88,100,88,725,164,"8,35",R.Pariquerá-Açú
11,Pedro de Toledo,SABESP,7750,74,100,89,419,143,"7,39",Rio Itariri
11,Registro,SABESP,49936,91,100,62,2.697,1.182,"7,02",R.Rib.de Iguape; Cór Serrote

19,,,,,,,,,,
,,,Poplação,Atendimento (%),,,Carga Poluidora (kg DBO/dia),,,Corpo Receptor
UGRHI,Município,Concessão,Urubana,Coleta,Tratamento,Eficiência,Potencial,Remanesc.,ICTEM,
11,Ribeira,SABESP,1233,48,100,91,67,37,"5,36",Rio Ribeira de Iguape
11,São Lourenço da Serra,SABESP,14255,31,100,75,770,591,"3,98",R.S.Lourenço
11,Sete Barras,SABESP,6969,93,99,29,376,277,"5,10","R.Rib.de Iguape (97%), Cór. Jurumirim (1%), Rio Quilombo (1%)."
11,Tapiraí,SABESP,5610,82,100,60,303,154,"6,43",Cór.Maciel
12,Altair,SABESP,3276,93,100,92,177,24,"9,90",Rib.Santana
12,Barretos,SAAE,117647,100,100,87,6.353,823,"10,00","Córregos das Pedras, Barro Preto, Pitangueiras e Rib.das Figueiras"
12,Bebedouro,SAAEB,73791,100,46,86,3.985,2.416,"5,25",Córregos Bebedouro e do Mandembo
12,Colina,SAAEC,17182,100,100,72,928,258,"8,19",Córregos do Retirinho e afl.do Rib.das Palmeiras
12,Colômbia,SABESP,4483,100,100,89,242,26,"10,00",Cór. Grande e Res.UHE Marimbondo
12,Guaraci,"Departamento de Água
e Esgoto de Guaraci
(DAEG)",9922,100,100,97,536,16,"10,00",Cór.Criciúma
12,Icém,SABESP,7021,98,100,87,379,56,"9,97",Cór. Água Doce
12,Jaborandi,SABESP,6464,92,100,72,349,117,"7,40",Cór.Jaborandi
12,Morro Agudo,SAAE,31286,100,98,79,1.689,383,"8,50",Rib.do Agudo
12,Orlândia,SAAE,42561,100,20,89,2.298,1.889,"3,46",Rib.do Agudo
12,Terra Roxa,SABESP,8867,94,100,87,479,88,"9,91",Rib.Banharão
12,Viradouro,SAV,18226,100,100,63,984,368,"7,57",Córregos Viradouro e .Bebedouro
13,Agudos,SABESP,35379,100,30,96,1.910,1.362,"4,11",Córrego dos Agudos
13,Araraquara,DAAE,227111,99,100,67,12.264,4.124,"7,80",Rib.das Cruzes
13,Arealva,SABESP,6699,76,100,74,362,159,"6,28",Rio Tietê
13,Areiópolis,SABESP,9863,100,100,81,533,101,"10,00",Cór.Areia Branca
13,Bariri,SAEMBA,33171,99,100,84,1.791,305,"9,68",Córrego Mineiro
13,Barra Bonita,SAAE,35370,98,35,79,1.910,1.395,"4,05",Rio Tietê
13,Bauru,DAE,368672,98,4,87,19.908,19.180,"1,98",Rio Bauru
13,Boa Esperança do Sul,PM,13238,98,100,90,715,84,"9,97",R.Boa Esperança
13,Bocaina,SABESP,11246,100,100,82,607,109,"9,80",Córrego Bocaina
13,Boracéia,SABESP,4283,97,100,83,231,45,"9,76",Córrego Matão
13,Borebi,SAAE,2286,100,100,80,123,25,"9,80",Córrego das Antas
13,Brotas,SAAEB,20825,100,100,83,1.125,196,"9,70",R.Jacaré-Pepira
13,Dois Córregos,SAAEDOCO,25673,97,100,86,1.386,225,"9,76",Rio Jaú
13,Dourado,SABESP,8106,100,100,96,438,18,"10,00",Rib.Dourado
13,Gavião Peixoto,PM,3852,100,97,84,208,39,"9,46",R.Jacaré Guaçu
13,Iacanga,PM,10073,97,100,92,544,59,"9,76",Ribeirão Claro
13,Ibaté,PM,33348,100,100,87,1.801,243,"10,00","Cór.S.J.Correntes, B.Vista e Monte Alegre"
13,Ibitinga,SAAE,57102,82,0,,3.083,3.083,"1,23",Cór.S.Joaquim

21,,,,,,,,,,
,,,Poplação,Atendimento (%),,,Carga Poluidora (kg DBO/dia),,,Corpo Receptor
UGRHI,Município,Concessão,Urubana,Coleta,Tratamento,Eficiência,Potencial,Remanesc.,ICTEM,
13,Igaraçu do Tietê,SAAE,24457,100,80,93,1.321,338,"7,84",Rio Tietê
13,Itaju,PM,2756,100,100,94,149,9,"9,80",Córrego Boa Vista de Baixo
13,Itapuí,PM,13216,87,0,,714,714,"1,31",Córrego Bica de Pedra
13,Itirapina,PM,16163,90,100,89,873,174,"9,85",Cór.Água Branca
13,Jaú,AMAN. S. JAÚ,143937,100,100,93,7.773,544,"9,80",Rio Jaú
13,Lençóis Paulista,SAAE,66338,98,100,71,3.582,1.075,"7,82",Rio Lençóis
13,Macatuba,PM,16602,100,100,77,897,206,"8,31",Córrego do Tanquinho
13,Mineiros do Tietê,ÁGUAS TDIEE TEMEINNESIEROS DO,12275,100,100,69,663,205,"7,79",R.São João
13,Nova Europa,PM,10217,100,100,80,552,110,"10,00",Rio Itaquerê
13,Pederneiras,SABESP,43002,99,100,81,2.322,457,"9,78",Ribeirão Pederneiras
13,Ribeirão Bonito,PM,12146,96,0,,656,656,"1,44",Ribeirão Bonito
13,São Carlos,SAAE,239451,100,91,88,12.930,2.665,"8,52","Rio Monjolinho, Rio do Quilombo, Ribeirão das Araras"
13,São Manuel,SABESP,39794,97,98,87,2.149,373,"9,63",Rib.Paraíso
13,Tabatinga,PM,13999,95,100,96,756,70,"9,93",Rib.São João
13,Torrinha,PM,8478,98,100,83,458,84,"9,98","Cór.do Taló, Rib.Pinheirinho e Cachoeirinha"
13,Trabiju,PM,1570,90,100,92,85,15,"9,85",R.Boa Esperança
14,Angatuba,SABESP,17935,90,100,95,968,138,"9,65",Rib.Grande/Ribeirão Bom Retiro e Córrego Boa Vista
14,Arandu,SABESP,4784,77,100,90,258,78,"7,69",Ribeirão Bonito
14,Barão de Antonina,SABESP,2113,92,100,92,114,17,"9,68",Água dos Pedrocas
14,Bernardino de Campos,SABESP,9983,100,100,91,539,51,"10,00",Córrego Douradinho - ETE Sul Córrego Douradão - ETE Norte
14,Bom Sucesso de Itararé,SABESP,2670,89,100,92,144,26,"9,54",Cór.Bom Sucesso
14,Buri,SABESP,15983,96,100,57,863,390,"6,81",Rio Apiaí-Guaçu e Ribeirão Aracaçu
14,Campina do Monte Alegre,SABESP,5069,79,100,93,274,73,"7,74",Rio Paranapanema
14,Capão Bonito,SABESP,38628,94,100,91,2.086,293,"9,41",Rib. do Poço
14,Coronel Macedo,SABESP,3654,91,100,83,197,49,"8,05",Rib.do Lajeado
14,Fartura,SABESP,12783,100,100,78,690,152,"8,57",Rio Fartura
14,Guapiara,SABESP,6951,81,91,99,375,103,"7,58",Rio São José Guapiara
14,Guareí,SABESP,10478,84,100,46,566,347,"5,27",Rio Guareí
14,Ipaussu,SAAE,13701,99,100,80,740,154,"8,63",
14,Itaberá,SABESP,11986,89,100,90,647,131,"8,32",Córrego Lavrinhas e Córrego Pirituba
14,Itaí,SABESP,21093,88,100,80,1.139,335,"7,71",Rib.dos Carrapatos
14,Itapetininga,SABESP,147217,95,100,92,7.950,1.059,"9,62",Rib.Ponte Alta/Ribeirão Jurumirim/Rio Capivari/Ribeirão Conceição/Rio
14,Itapeva,SABESP,79128,90,97,92,4.273,823,"9,81",Cór.Aranha e Rib.Pilão D'Água
14,Itaporanga,SABESP,11472,91,100,85,619,139,"8,21",Rio Verde

23,,,,,,,,,,
,,,Poplação,Atendimento (%),,,Carga Poluidora (kg DBO/dia),,,Corpo Receptor
UGRHI,Município,Concessão,Urubana,Coleta,Tratamento,Eficiência,Potencial,Remanesc.,ICTEM,
14,Itararé,SABESP,46511,91,30,94,2.512,1.868,"3,48",Córrego da Pedra
14,Manduri,SEMAN,8461,99,100,86,457,68,"9,49",Cór.Lageadinho
14,Nova Campina,SABESP,6528,79,100,62,353,180,"6,18",Rio Taquari
14,Paranapanema,SABESP,16256,69,100,86,878,360,"6,36",Res.Jurumirim/Ribeirão Tibiriça/Ribeirão das Posses.
14,Pilar do Sul,SABESP,22580,76,100,95,1.219,338,"7,84",Rio Turvo
14,Piraju,SABESP,26743,99,95,92,1.444,190,"9,72",Rio Paranapanema
14,Ribeirão Branco,SABESP,8488,83,90,58,458,262,"5,37",Córrego Ribeirão Branco/Rio Taquarigauçu
14,Ribeirão Grande,SABESP,2420,100,100,99,131,1,"10,00",Ribeirão Grande
14,Riversul,SABESP,4087,97,100,53,221,107,"6,59",Ribeirão Vermelho do Sul
14,São Miguel Arcanjo,SABESP,22466,83,100,72,1.213,486,"7,15",Cór.S.Miguel Arcanjo; Ribeirão das Cachaças e Rio Turvo.
14,Sarutaiá,SABESP,2977,92,100,79,161,45,"8,07",Cór.do Barranco
14,Taguaí,SABESP,9720,100,100,74,525,136,"8,11",Rio Fartura
14,Taquarituba,SABESP,20360,100,100,93,1.099,83,"9,80",Ribeirão Lajeado; Córrego do Cavalo.
14,Taquarivaí,SABESP,3160,81,100,35,171,122,"4,57",Cór.Sem Nome
14,Tejupá,PM,2968,100,0,,160,160,"1,50",Cór.da Pedra Branca
14,Timburi,SABESP,1936,89,100,69,105,40,"7,33",Rib.Retiro
15,Álvares Florence,DATEMA,2524,100,100,61,136,54,"7,43",Ribeirão Barreiro
15,Américo de Campos,DAEAC,4998,99,97,93,270,29,"9,94",Córrego Água Parada
15,Ariranha,SAE,9066,100,100,80,490,98,"3,30",Cór.Ariranha
15,Aspásia,SABESP,1268,100,100,81,68,13,"10,00",Cór.Cascavel
15,Bálsamo,SAEB,8238,100,100,83,445,76,"10,00",Córrego do Bálsamo
15,Cajobi,PM,9804,100,100,71,529,151,"7,84",Córregos da Limeira e do Matias
15,Cândido Rodrigues,SABESP,2249,100,100,83,121,20,"9,70",Cór. Água Suja
15,Cardoso,SABESP,11182,92,100,98,604,64,"9,87",Córrego Tomazinho / Ribeirão do Marinheiro
15,Catanduva,SAEC,120237,100,99,94,6.493,432,"9,99",Rio São Domingos
15,Catiguá,SABESP,7145,99,100,26,386,287,"5,16",Rio S.Domingos
15,Cedral,SAE,7218,100,100,84,390,62,"9,70",Córrego Baixadão
15,Cosmorama,Municipal,5015,98,96,88,271,46,"9,61",Córrego Cavalinho / Ribeirão Bonito
15,Dolcinópolis,SABESP,1970,100,100,93,106,7,"10,00",Cór. Pinico
15,Embaúba,SABESP,2088,100,100,77,113,26,"8,51",Córrego dos Coelhos.
15,Estrela d'Oeste,SABESP,7006,100,100,83,378,63,"10,00",Cór.Taboinha
15,Fernando Prestes,SABESP,4899,100,100,69,265,83,"7,67",Cór.Dr.Mendes
15,Fernandópolis,SABESP,66715,100,100,87,3.603,485,"10,00",Cór.Santa Rita e Cór.Aldeia
15,Guapiaçu,SAE,18684,87,100,88,1.009,236,"8,28",Rib.Claro
15,Guarani d'Oeste,SABESP,1763,98,100,91,95,10,"9,98",Cór.do Leme

25,,,,,,,,,,
,,,Poplação,Atendimento (%),,,Carga Poluidora (kg DBO/dia),,,Corpo Receptor
UGRHI,Município,Concessão,Urubana,Coleta,Tratamento,Eficiência,Potencial,Remanesc.,ICTEM,
15,Indiaporã,SABESP,3384,87,100,92,183,38,"8,46",Cór.da Água Vermelha
15,Ipiguá,DAE,3201,100,0,,173,173,"1,80",Rio Preto confluência c/ Cór.Rangel
15,Macedônia,SABESP,2807,99,100,81,152,30,"9,98",Cór.da Captuva
15,Meridiano,SABESP,2674,100,100,86,144,20,"10,00",Córrego Sucuri
15,Mesópolis,SABESP,1487,98,100,90,80,9,"9,97",Cór.do Meio
15,Mira Estrela,SABESP,2040,99,100,87,110,15,"9,98",Cór. Aroeira
15,Mirassol,SANESSOL,57843,100,80,98,3.124,678,"8,29",Cór.Fartura - Piedade - Fundão
15,Mirassolândia,DAE,3920,78,100,56,212,119,"6,00",Cór.da Faxina
15,Monte Alto,SABESP,47956,100,100,96,2.590,110,"10,00","Córrego Rico, Rio Turvo"
15,Monte Azul Paulista,SAEMAP,17824,100,29,95,963,699,"3,91","Córregos Sta Rosa, Cachoeirinha e do Matadouro"
15,Nova Granada,SABESP,19746,98,100,86,1.066,170,"9,67",Cór.Mata Negra
15,Novais,SAE,5201,100,100,91,281,25,"10,00",Córrego do Matão
15,Olímpia,DAEMO,51456,100,39,90,2.779,1.799,"4,88","Córregos dos Pretos, Olhos D ´Água,. Baguaçu e Bela Vista."
15,Onda Verde,SABESP,3399,98,100,80,184,40,"8,27",Córrego da Gotinha
15,Orindiúva,SABESP,6383,93,100,83,345,79,"8,40",Cór.Barreirão
15,Ouroeste,SABESP,9137,100,100,87,493,66,"10,00",Cór.das Galinhas
15,Palestina,"ESAP - EMPRESA
DE SANEAMENTO
PALESTINA",10631,90,100,82,574,150,"8,15",Cór.Piau
15,Palmares Paulista,SABESP,12682,99,100,86,685,102,"9,79",Rib. Da Onça
15,Paraíso,SAE,5637,100,100,60,304,122,"7,10",Cór. Papagaio
15,Paranapuã,SABESP,3613,100,100,84,195,31,"10,00",Cór. Chaveco
15,Parisi,DAEP,1741,80,100,57,94,51,"5,86",Córrego Feio
15,Paulo de Faria,SABESP,8058,98,100,93,435,40,"9,96",Ribeirão das Pontes
15,Pedranópolis,SABESP,1560,99,100,80,84,17,"8,64",Cór. Forte
15,Pindorama,SAE,15975,98,100,92,863,85,"9,97","R.S.Domingos, Córrego Barro Preto e córrego Cubatão"
15,Pirangi,"Nenhuma
(treesmppoonrsaaribailmideandtee  sdoab
Prefeitura Municipal)",10191,100,100,83,550,94,"10,00",Rib.Tabarana
15,Pontes Gestal,SABESP,2174,100,100,83,117,20,"10,00",Rio Preto
15,Populina,SABESP,3382,100,100,88,183,22,"10,00",Cór.Barra Bonita
15,Riolândia,SABESP,9764,100,100,83,527,89,"9,70",Rio Grande_Reservatório da UHE de Água Vermelha
15,Santa Adélia,SAE,14567,99,100,94,787,55,"9,99",R.S.Domingos
15,Santa Albertina,SABESP,5122,100,100,84,277,44,"10,00",Cór.D'Oeste
15,Santa Clara d'Oeste,SABESP,1597,100,100,87,86,11,"10,00",Cór.do Contra
15,Santa Rita d'Oeste,PM,1750,100,100,86,94,13,"10,00",Cór.da Mina
15,São José do Rio Preto,SEMAE,428456,98,100,94,23.137,1.823,"9,97",Rio Preto (classe 4)

27,,,,,,,,,,
,,,Poplação,Atendimento (%),,,Carga Poluidora (kg DBO/dia),,,Corpo Receptor
UGRHI,Município,Concessão,Urubana,Coleta,Tratamento,Eficiência,Potencial,Remanesc.,ICTEM,
15,Severínia,SAE,16515,100,100,83,892,155,"9,49",Córregos Pau D'Alho e do Baixão
15,Tabapuã,SAE,11413,100,100,64,616,222,"7,35",Cór.Limeira
15,Taiaçu,PM,5678,100,100,47,307,162,"6,56",Córrego S.J.Taiaçu
15,Taiúva,PM,5077,100,100,80,274,55,"9,70","Córregos do Melo, Sta Rita e Sta Maria"
15,Tanabi,SAAT,23339,98,100,89,1.260,162,"9,97",Rio Jataí
15,Turmalina,SABESP,1251,100,100,91,68,6,"10,00",Cór.do Candinho
15,Uchoa,SAE,9349,100,100,97,505,15,"10,00",Cór.Grande
15,Urânia,SABESP,7665,100,100,78,414,91,"8,57",Rib.Ponte Pensa
15,Valentim Gentil,SABESP,11977,100,100,96,647,26,"10,00",Córrego Varação
15,Vista Alegre do Alto,PM,7957,100,100,82,430,77,"9,70",Cór. Barro Preto
15,Vitória Brasil,SABESP,1515,97,100,87,82,12,"9,96",Cór. Do Cedro
15,Votuporanga,SAEV Ambiental,91111,99,100,80,4.920,1.020,"8,64",Cór.Marinheirinho (Sede) e Córrego Lagoinha (Simonsen)
16,Adolfo,SABESP,3213,100,100,84,173,28,"10,00",Cor. Sobrado
16,Avaí,SABESP,3605,95,100,83,195,41,"8,36",Córrego Jacutinga
16,Bady Bassitt,DAE,16122,97,100,95,871,68,"9,96",Rib.Borboleta / Rib. Fartura
16,Balbinos,SABESP,1676,100,100,74,90,24,"8,11",Córrego Umirim
16,Borborema,PM,14354,100,100,92,775,62,"10,00",Cór.do Fugido
16,Cafelândia,SAAE,15358,100,4,82,829,802,"1,77",Cór.do Saltinho; Em Bacuriti Córrego do Meio
16,Dobrada,PM,8649,100,100,85,467,70,"9,50",Cor.Dobrada
16,Elisiário,PM,3301,95,100,50,178,94,"6,21",Cór.do Sapo
16,Guaiçara,PM,10941,100,100,94,591,35,"9,50",Cór.Fim
16,Guarantã,PM,5676,100,100,12,306,270,"3,78",Cor. Guarany
16,Ibirá,SABESP,11316,97,100,80,611,136,"8,51",Cór.Mococa
16,Irapuã,SABESP,7071,100,100,88,382,46,"10,00",Cór.Cervinho
16,Itajobi,DAEI,12705,100,96,78,686,174,"8,29",Rib. Três Pontes
16,Itápolis,SAAE,38913,100,100,87,2.101,273,"9,80",Rio São Lourenço
16,Jaci,DAE,5971,95,100,88,322,53,"9,93",Cór. Do Mangue
16,Lins,SABESP,76605,100,100,83,4.137,717,"9,49",Cór. Campestre
16,Marapoama,PM,2507,100,100,62,135,51,"7,53",Cór.Lagoa Seca
16,Matão,CIAS AMNAETAOMNEENNSTEO DE,81180,100,100,100,4.384,4,"10,00",Rio São Lourenço
16,Mendonça,PM,4425,100,100,62,239,91,"7,23",Rib.dos Bagres
16,Nova Aliança,DAE,5696,100,100,51,308,151,"6,52",Cór.Borboleta
16,Novo Horizonte,SABESP,37852,99,100,86,2.044,304,"9,79",Rib.Três Pontes
16,Pirajuí,SAAE,20576,98,0,,1.111,1.111,"1,77",Córrego Dourado Leste
16,Piratininga,SABESP,11574,92,100,86,625,133,"7,99",Rio Batalha

29,,,,,,,,,,
,,,Poplação,Atendimento (%),,,Carga Poluidora (kg DBO/dia),,,Corpo Receptor
UGRHI,Município,Concessão,Urubana,Coleta,Tratamento,Eficiência,Potencial,Remanesc.,ICTEM,
16,Pongaí,SABESP,2884,100,100,80,156,31,"9,70",Cór.da Aldeia
16,Potirendaba,SAE,15457,100,100,83,835,142,"10,00",Cór.Águas Espalhadas
16,Presidente Alves,SABESP,3419,98,100,81,185,39,"8,40",Ribeirão Presidente Alves
16,Reginópolis,SAAE,5597,73,100,94,302,94,"7,38",Córrego da Corredeira
16,Sabino,SAAE,4880,100,100,85,264,41,"9,49",Cór. Esgotão
16,Sales,PM,5625,100,100,91,304,27,"10,00",Cór.Capoeirinha e Córrego do Cervinho
16,Santa Ernestina,SABESP,5185,100,100,93,280,20,"10,00",Rib.dos Porcos
16,Taquaritinga,SAAET,54007,100,100,86,2.916,421,"9,70",Rib.dos Porcos
16,Uru,SABESP,1017,83,100,90,55,14,"7,62",Cór.do Uru
16,Urupês,PM,12216,96,100,80,660,153,"8,43",Cór.Barreirão
17,Águas de Santa Bárbara,SABESP,4592,69,100,94,248,88,"7,02",Rio Pardo
17,Alvinlândia,SABESP,2878,99,100,80,155,33,"8,12",Cór.Jauzinho
17,Assis,SABESP,99139,97,100,89,5.354,732,"9,96",Córrego do Jacu e Ribeirão da Fortuna
17,Avaré,SABESP,86215,98,100,88,4.656,663,"9,76",Cór.do Lajeado/Córrego Barra Grande
17,Cabrália Paulista,PM,3709,99,100,86,200,30,"9,79",Ribeirão Alambari
17,Campos Novos Paulista,PM,3833,100,100,84,207,33,"10,00",Rio Novo
17,Cândido Mota,SAAE,29345,93,100,87,1.585,301,"9,90",Cór.do Jacu
17,Canitar,PM,4867,100,100,88,263,32,"10,00",Afl.Cor.Sant`ana
17,Cerqueira César,PM,17726,95,95,0,957,957,"2,85",R.Três Ranchos
17,Chavantes,PM,11419,99,100,84,617,104,"9,99",R.Paranapanema
17,Cruzália,SABESP,1390,100,100,82,75,14,"10,00",Rib.Água da Pintada
17,Duartina,SABESP,11182,99,100,80,604,125,"8,45",Córrego Alambari
17,Echaporã,SABESP,4891,100,100,91,264,24,"10,00",Rib. Cascavel
17,Espírito Santo do Turvo,SABESP,4088,98,100,83,221,42,"9,97",Rio Turvo
17,Fernão,SABESP,927,100,100,81,50,10,"9,50",Rib.das Antas
17,Florínea,SABESP,2397,83,100,90,129,33,"8,10",Rib.Água do Pântano
17,Gália,SABESP,4930,99,100,75,266,69,"7,79",Rib.das Antas
17,Iaras,SABESP,3984,88,100,92,215,41,"9,62",Água da Limeira
17,Ibirarema,PM,7078,100,100,76,382,92,"8,44",Rib.Pau d'Alho
17,Itatinga,SABESP,18617,87,100,89,1.005,233,"7,99",Rio Novo
17,João Ramalho,PM,3839,100,100,81,207,39,"10,00",Cor.Água Bonita
17,Lucianópolis,SABESP,1892,99,100,76,102,26,"8,14",Cór.Água da Rosa
17,Lupércio,SABESP,4059,100,100,76,219,53,"7,93",Cór.Santo Anastácio
17,Maracaí,SABESP,12663,94,100,87,684,125,"9,91",Rib.do Cervo e Rib.Água das Anhumas
17,Ocauçu,PM,3423,97,100,84,185,34,"9,96",Cor.Tarumã

31,,,,,,,,,,
,,,Poplação,Atendimento (%),,,Carga Poluidora (kg DBO/dia),,,Corpo Receptor
UGRHI,Município,Concessão,Urubana,Coleta,Tratamento,Eficiência,Potencial,Remanesc.,ICTEM,
17,Óleo,SABESP,1663,98,100,80,90,19,"8,37",Córrego Lajeado
17,Ourinhos,SAE OURINHOS,109803,99,83,51,5.929,3.470,"5,72","Rios Pardo, Paranapanema e Cór. Jacuzinho"
17,Palmital,SAAE,20334,100,100,89,1.098,121,"10,00",Cór.Água Parada
17,Paraguaçu Paulista,SABESP,41196,100,100,96,2.225,83,"10,00",Rib.do Alegre e do Sapé
17,Pardinho,SABESP,5001,94,95,92,270,48,"9,54",Rio Pardo
17,Paulistânia,SABESP,1248,84,100,82,67,21,"7,52",Córrego Pinheirinho
17,Pedrinhas Paulista,SABESP,2605,93,100,90,141,23,"9,90",R.Pedrinhas
17,Platina,SABESP,2772,88,100,80,150,44,"7,90",Cór. Pari-Veado
17,Pratânia,SABESP,3943,99,100,82,213,40,"9,99",Rios da Prata e Claro
17,Quatá,SABESP,13146,90,100,91,710,128,"9,85",Rib.Água da Bomba
17,Rancharia,PM,26621,93,87,63,1.438,703,"6,52",Cór.Água da Lavadeira e Água da Rancharia
17,Ribeirão do Sul,SABESP,3367,90,100,80,182,51,"8,03",Rib.dos Pintos
17,Salto Grande,PM,8394,65,100,72,453,241,"6,02",Rios Paranapanema e Novo
17,Santa Cruz do Rio Pardo,SABESP,43330,98,100,83,2.340,437,"9,97",Rio Pardo
17,São Pedro do Turvo,PM,5464,100,100,81,295,56,"10,00",Rio São João
17,Tarumã,SABESP,13939,97,100,85,753,132,"9,96",Rib.do Tarumã
17,Ubirajara,SABESP,3466,93,100,80,187,48,"8,04",Córrego São João
18,Aparecida d'Oeste,SABESP,3467,97,100,89,187,26,"9,96",Cór.do Boi
18,Auriflama,SABESP,13787,100,100,85,744,112,"10,00",Córrego do Limoeiro
18,Dirce Reis,SABESP,1352,94,100,84,73,15,"8,56",Cór.Marimbondo
18,Floreal,SABESP,2383,100,100,75,129,32,"8,38",Córrego Grotão
18,General Salgado,SABESP,9261,100,100,80,500,98,"10,00",Cór.Buritis
18,Guzolândia,SABESP,4420,98,100,88,239,33,"9,97",Cór. Do Bagre
18,Ilha Solteira,PM,24941,91,100,61,1.347,601,"6,96",Rio Paraná
18,Jales,SABESP,46120,100,100,88,2.490,299,"10,00",Cór.Marimbondo
18,Marinópolis,SABESP,1674,97,100,89,90,12,"9,96",Cór.Três Barras
18,Monte Aprazível,SABESP,22579,97,100,85,1.219,213,"9,96",Rio São José dos Dourados
18,Neves Paulista,DAE,8064,95,100,68,435,154,"7,32",Córrego Jacutinga
18,Nhandeara,SABESP,9257,100,100,90,500,48,"10,00",Córrego Cabeceira Comprida / Córrego do Perdido
18,Nova Canaã Paulista,SABESP,795,100,100,80,43,9,"10,00",Solo
18,Palmeira d'Oeste,SABESP,7083,100,100,88,382,47,"10,00",Cór. Laranjeiras
18,Pontalinda,SABESP,3801,87,100,82,205,59,"7,95",Cór.Lajeado
18,Rubinéia,SABESP,2571,80,100,86,139,43,"7,69",Cór.Jacu
18,Santa Fé do Sul,SAAE,30813,100,100,74,1.664,433,"8,31",Cór.da Mula e Cór.Jacu Queimado
18,Santa Salete,SABESP,871,100,100,86,47,7,"10,00",Cór.da Paca e Perdizes

33,,,,,,,,,,
,,,Poplação,Atendimento (%),,,Carga Poluidora (kg DBO/dia),,,Corpo Receptor
UGRHI,Município,Concessão,Urubana,Coleta,Tratamento,Eficiência,Potencial,Remanesc.,ICTEM,
18,Santana da Ponte Pensa,SABESP,1007,100,100,86,54,8,"10,00",Rib. Pororoca
18,São Francisco,SABESP,2193,100,100,0,118,118,"3,50",Cór.Botelho
18,São João das Duas Pontes,SABESP,1967,100,100,90,106,11,"10,00",Có. Da Lingüiça
18,São João de Iracema,Municipal,1560,100,100,48,84,44,"6,62",Cór.Saltinho
18,Sebastianópolis do Sul,SABESP,2687,98,100,90,145,17,"9,97",Córrego do Januário Amaral
18,Suzanápolis,DAE,2610,98,100,61,141,57,"7,36",Cór.da Perdida
18,Três Fronteiras,SABESP,4898,100,100,85,264,40,"10,00",Cór.Marruco
19,Alto Alegre,Sabesp,3241,91,100,84,175,42,"8,00",Córrego do Coroados
19,Andradina,ÁGUAS DE ANDRADINA,53304,99,100,76,2.878,722,"8,05","Cór.Pereira Jordão, da Figueira e São Pedro"
19,Araçatuba,SANEAR,192099,98,100,78,10.373,2.485,"8,41",Ribeirão Baguaçu e Corrego Lafon.
19,Avanhandava,PM,11357,100,100,84,613,98,"9,70",Cór.Alambari e Cór.Jacutinga
19,Barbosa,PM,6202,100,100,55,335,151,"6,78",Cór.Barbosinha e R.Tietê
19,Bento de Abreu,SABESP,2701,95,100,81,146,33,"8,15",Rib.Azul
19,Bilac,PM,7310,100,100,57,395,170,"6,91",Cór.da Colônia
19,Birigui,PMB,118711,98,100,72,6.410,1.887,"7,76",Ribeirão Baixotes
19,Braúna,PMB,4922,100,100,72,266,74,"7,88",Córrego Água Limpa
19,Brejo Alegre,SABESP,2330,83,100,84,126,38,"7,48",Cór.do Macuco
19,Buritama,PM,16019,100,100,85,865,130,"10,00",Rib.Palmeiras
19,Castilho,ÁGUAS DE CASTILHO,15654,100,100,87,845,106,"9,70",Rib.Guatapará e Cór.S.Roberto
19,Coroados,SABESP,4848,97,100,86,262,44,"9,65",Cór.do Campo
19,Gastão Vidigal,SABESP,4259,81,100,91,230,60,"8,01",Cór.Brioso e Solo
19,Glicério,SABESP,3531,86,100,81,191,58,"7,80",Água Limpa
19,Guaraçaí,PM,6593,95,100,91,356,47,"9,63",Ribeirão Iguatemi e Córrego Plano Alto
